Manufacturer Part Number*;Qty*;Designator*;Customer Supply;Customer Remark
na;1;J7,J1;Y;
na;30;MX5,MX18,MX44,MX14,MX37,MX28,MX12,MX48,MX13,MX4,MX49,MX56,MX8,MX11,MX40,MX36,MX22,MX27,MX7,MX21,MX1,MX32,MX2,MX50,MX35,MX57,MX3,MX45,MX51,MX52,MX47,MX46,MX60,MX31,MX20,MX55,MX30,MX26,MX33,MX10,MX58,MX23,MX38,MX6,MX59,MX39,MX42,MX43,MX41,MX17,MX24,MX16,MX25,MX34,MX9,MX54,MX19,MX29,MX53,MX15;Y;
BAV20W-7-F;62;D58,D46,D48,D14,D50,D24,D51,D13,D54,D29,D33,D25,D5,D62,D59,D63,D22,D3,D10,D38,D28,D9,D55,D49,D60,D4,D8,D30,D41,D37,D6,D20,D17,D27,D26,D23,D42,D19,D31,D56,D45,D21,D44,D35,D12,D40,D36,D39,D1,D52,D43,D18,D47,D2,D61,D53,D57,D7,D16,D11,D34,D15;;
GRT155D70G106ME13J;12;C42,C38,C37,C44,C48,C47,C45,C36,C46,C35,C43,C34;;
SJ1-3523N ;2;J5,J3;;
ERA-2VEB5101X;10;R17,R11,R10,R2,R15,R3,R5,R1,R4,R16;;
CR0402AFX-1001GAS;4;R12,R9,R6,R18;;
CC0402KRX7R6BB104;18;C13,C27,C26,C6,C9,C31,C5,C7,C25,C12,C8,C29,C24,C32,C28,C10,C33,C40;;
TPS2553DBVR;2;U12,U10;;
MCU08050C5101FP500;4;R22,R20,R19,R23;;
GRM155C71C105KE11J ;10;C18,C19,C11,C2,C1,C4,C30,C14,C17,C23;;
SFR01MZPJ270 ;4;R13,R8,R14,R7;;
TL3342F160QG/TR;4;BOOT1,RST2,RST1,BOOT2;;
KGM05ACG1H220JH ;4;C16,C15,C21,C20;;
KGM15CR50J106MT ;2;C22,C3;;
RPI Chip RP2040-7-500 ;2;U8,U3;;
na;2;S2,S1;Y;
TYPE-C-31-M-14;2;J2,J6;;
X322512MSB4SI;2;Y1,Y2;;
SF-1206S200W-2;2;F2,F1;;
JST-XH-5P;2;J8,J4;;
W25Q128JVSIQ;2;U4,U7;;
VJ0805Y104KXAAT;2;C41,C39;;
SRV05-4.TCT ;2;U2,U6;;
EC11E183440C;2;SW1,SW2;;
0805S8F7502T5E;2;R21,R24;;
TPS2553DBVR ;2;U1,U5;;
SK6812MINI-E;60;LED39,LED45,LED41,LED13,LED23,LED30,LED20,LED16,LED9,LED18,LED51,LED11,LED42,LED48,LED31,LED14,LED17,LED19,LED24,LED22,LED50,LED28,LED32,LED21,LED54,LED25,LED1,LED10,LED43,LED60,LED37,LED55,LED38,LED58,LED56,LED8,LED26,LED7,LED29,LED5,LED44,LED3,LED12,LED49,LED59,LED47,LED36,LED6,LED35,LED57,LED53,LED34,LED4,LED46,LED52,LED2,LED15,LED40,LED33,LED27;;
74AHC1G125GW,125 ;2;U11,U9;;
